[Normal]Item: Phi §ao(0,0,1,1,0,1), unbind = 0, bind = 0
[Normal]Item: Toµn Th¹ch Giíi ChØ(0,0,3,0,2,10), unbind = 0, bind = 0
[Normal]Item: Toµn Th¹ch Giíi ChØ(0,0,3,0,2,10), unbind = 0, bind = 0
[Normal]Item: Toµn Th¹ch Giíi ChØ(0,0,3,0,2,10), unbind = 0, bind = 0
[Normal]Item: Toµn Th¹ch Giíi ChØ(0,0,3,0,2,10), unbind = 0, bind = 0
[Normal]Item: Toµn Th¹ch Giíi ChØ(0,0,3,0,2,10), unbind = 0, bind = 0
[Normal]Item: Toµn Th¹ch Giíi ChØ(0,0,3,0,2,10), unbind = 0, bind = 0
[Normal]Item: Toµn Th¹ch Giíi ChØ(0,0,3,0,2,10), unbind = 0, bind = 0
[Normal]Item: Nga Mi Thİch(0,0,0,5,0,1), unbind = 0, bind = 0
[Normal]Item: Háa Tinh Kim Hæ V­¬ng(0,0,10,15,0,10), unbind = 0, bind = 1000
[Normal]Item: Kim Tinh B¹ch Hæ V­¬ng(0,0,10,16,0,10), unbind = 0, bind = 2000
[Normal]Item: Long Tinh H¾c Hæ V­¬ng(0,0,10,17,0,10), unbind = 0, bind = 3000
[Normal]Item:  §å phæ Hoµng Kim - An Bang B¨ng Tinh Th¹ch H¹ng Liªn(0,1,163,0,4,10), unbind = 0, bind = 0
[Normal]Item:  §å phæ Hoµng Kim - An Bang Cóc Hoa Th¹ch ChØ hoµn(0,1,164,0,2,8), unbind = 0, bind = 0
[Normal]Item:  §å phæ Hoµng Kim - An Bang §iÒn Hoµng Th¹ch Ngäc Béi(0,1,165,1,1,8), unbind = 0, bind = 0
[Normal]Item:  §å phæ Hoµng Kim - An Bang Kª HuyÕt Th¹ch Giíi ChØ (0,1,166,0,3,8), unbind = 0, bind = 0
[Normal]Item: Khæng T­íc Linh(0,0,1,2,2,10), unbind = 0, bind = 0
[Normal]Item:  §å phæ Hoµng Kim - An Bang Kª HuyÕt Th¹ch Giíi ChØ (0,1,166,0,3,8), unbind = 0, bind = 0
[Normal]Item:  §å phæ Hoµng Kim - An Bang §iÒn Hoµng Th¹ch Ngäc Béi(0,1,165,1,1,8), unbind = 0, bind = 0
[Normal]Item:  §å phæ Hoµng Kim - An Bang Cóc Hoa Th¹ch ChØ hoµn(0,1,164,0,2,8), unbind = 0, bind = 0
[Normal]Item:  §å phæ Hoµng Kim - An Bang B¨ng Tinh Th¹ch H¹ng Liªn(0,1,163,0,4,10), unbind = 0, bind = 0
[Normal]Item: Lang Nha Bæng(0,0,0,2,2,7), unbind = 0, bind = 0
[Normal]Item: LiÖt T©m chïy(0,0,0,4,1,7), unbind = 0, bind = 0
[Normal]Item: ThiÕu L©m L­îng Ng©n Phi Tiªu(0,0,1,0,4,7), unbind = 0, bind = 0
[Normal]Item: Thanh Long §ao(0,0,0,1,4,9), unbind = 0, bind = 0
[Normal]Item: Uyªn ¦¬ng §ao(0,0,0,5,0,6), unbind = 0, bind = 0
[Normal]Item: To¸i NguyÖt §ao(0,0,1,1,4,10), unbind = 0, bind = 0
[Normal]Item: NghiÖt Long chïy(0,0,0,4,0,9), unbind = 0, bind = 0
[Enchasable]Item: (0,2,7,2,3,10), unbind = 0, bind = 0
[Normal]Item: Toµn Th¹ch Giíi ChØ(0,0,3,0,2,10), unbind = 0, bind = 0
[Normal]Item: Toµn Th¹ch Giíi ChØ(0,0,3,0,2,10), unbind = 0, bind = 0
[Normal]Item: Toµn Th¹ch Giíi ChØ(0,0,3,0,2,10), unbind = 0, bind = 0
[Normal]Item: Toµn Th¹ch Giíi ChØ(0,0,3,0,2,10), unbind = 0, bind = 0
[Normal]Item: Toµn Th¹ch Giíi ChØ(0,0,3,0,2,10), unbind = 0, bind = 0
[Normal]Item: Toµn Th¹ch Giíi ChØ(0,0,3,0,2,10), unbind = 0, bind = 0
[Normal]Item: Toµn Th¹ch Giíi ChØ(0,0,3,0,2,10), unbind = 0, bind = 0
[Normal]Item: Toµn Th¹ch Giíi ChØ(0,0,3,0,2,10), unbind = 0, bind = 0
[Normal]Item: Toµn Th¹ch Giíi ChØ(0,0,3,0,2,10), unbind = 0, bind = 0
[Normal]Item: Toµn Th¹ch Giíi ChØ(0,0,3,0,2,10), unbind = 0, bind = 0
[Enchasable]Item: (0,2,7,2,3,10),¼ÓÉúÃü×î´óÖµÉÏÏŞ=(182,0), unbind = 0, bind = 0
[Enchasable]Item: (0,2,7,2,3,10),¼ÓÉúÃü×î´óÖµÉÏÏŞ=(182,0),½µµÍ±ù¶³Ê±¼ä=(40,0), unbind = 0, bind = 0
[Enchasable]Item: (0,2,7,2,3,10),¼ÓÉúÃü×î´óÖµÉÏÏŞ=(182,0),½µµÍ±ù¶³Ê±¼ä=(40,0),¼ÓÄÚÁ¦ÉÏÏŞ=(195,0), unbind = 0, bind = 0
[Enchasable]Item: (0,2,7,2,3,10),¼ÓÉúÃü×î´óÖµÉÏÏŞ=(182,0),½µµÍ±ù¶³Ê±¼ä=(40,0),¼ÓÄÚÁ¦ÉÏÏŞ=(195,0),ÎïÃâ°Ù·Ö±È=(25,0), unbind = 0, bind = 0
[Enchasable]Item: (0,2,7,2,3,10),¼ÓÉúÃü×î´óÖµÉÏÏŞ=(182,0),½µµÍ±ù¶³Ê±¼ä=(40,0),¼ÓÄÚÁ¦ÉÏÏŞ=(195,0),ÎïÃâ°Ù·Ö±È=(25,0),¼ÓÉúÃü»Ö¸´ËÙ¶È=(6,0), unbind = 0, bind = 0
[Enchasable]Item: (0,2,7,2,3,9),¼ÓÉúÃü×î´óÖµÉÏÏŞ=(182,0),½µµÍ±ù¶³Ê±¼ä=(40,0),¼ÓÄÚÁ¦ÉÏÏŞ=(195,0),ÎïÃâ°Ù·Ö±È=(25,0),¼ÓÉúÃü»Ö¸´ËÙ¶È=(6,0), unbind = 0, bind = 0
[Enchasable]Item: (0,2,7,2,3,8),¼ÓÉúÃü×î´óÖµÉÏÏŞ=(182,0),½µµÍ±ù¶³Ê±¼ä=(40,0),¼ÓÄÚÁ¦ÉÏÏŞ=(195,0),ÎïÃâ°Ù·Ö±È=(25,0),¼ÓÉúÃü»Ö¸´ËÙ¶È=(6,0), unbind = 0, bind = 0
[Enchasable]Item: (0,2,7,2,3,7),¼ÓÉúÃü×î´óÖµÉÏÏŞ=(182,0),½µµÍ±ù¶³Ê±¼ä=(40,0),¼ÓÄÚÁ¦ÉÏÏŞ=(195,0),ÎïÃâ°Ù·Ö±È=(25,0),¼ÓÉúÃü»Ö¸´ËÙ¶È=(6,0), unbind = 0, bind = 0
[Enchasable]Item: (0,2,7,2,3,6),¼ÓÉúÃü×î´óÖµÉÏÏŞ=(182,0),½µµÍ±ù¶³Ê±¼ä=(40,0),¼ÓÄÚÁ¦ÉÏÏŞ=(195,0),ÎïÃâ°Ù·Ö±È=(25,0),¼ÓÉúÃü»Ö¸´ËÙ¶È=(6,0), unbind = 0, bind = 0
[Enchasable]Item: (0,2,7,2,3,5),¼ÓÉúÃü×î´óÖµÉÏÏŞ=(182,0),½µµÍ±ù¶³Ê±¼ä=(40,0),¼ÓÄÚÁ¦ÉÏÏŞ=(195,0),ÎïÃâ°Ù·Ö±È=(25,0),¼ÓÉúÃü»Ö¸´ËÙ¶È=(6,0), unbind = 0, bind = 0
[Enchasable]Item: (0,2,7,2,3,4),¼ÓÉúÃü×î´óÖµÉÏÏŞ=(182,0),½µµÍ±ù¶³Ê±¼ä=(40,0),¼ÓÄÚÁ¦ÉÏÏŞ=(195,0),ÎïÃâ°Ù·Ö±È=(25,0),¼ÓÉúÃü»Ö¸´ËÙ¶È=(6,0), unbind = 0, bind = 0
[Normal]Item: B«n Tiªu(0,0,10,6,0,10), unbind = 0, bind = 40
[Normal]Item: Phiªn Vò (0,0,10,7,0,10), unbind = 0, bind = 2000
[Normal]Item: Xİch Long C©u(0,0,10,9,0,10), unbind = 0, bind = 8000
[Normal]Item: Du Huy(0,0,10,11,0,10), unbind = 0, bind = 0
[Normal]Item: Siªu Quang(0,0,10,13,0,10), unbind = 0, bind = 20000
[Normal]Item: Phi §ao(0,0,1,1,0,1), unbind = 0, bind = 0
[Normal]Item: Phi §ao(0,0,1,1,0,1), unbind = 0, bind = 0
